trial,trigger,latency,scene_category,old,behavior,subsequent_memory
46,2049,563818,natural,new,correctreject,na
47,2119,565350.5,natural,old,hit,na
48,1040,566618.5,manmade,new,correctreject,subsequent_forgotten
49,2049,567755,natural,new,correctreject,na
50,1111,569313,manmade,old,hit,subsequent_remembered
51,1041,571257,manmade,new,correctreject,subsequent_remembered
52,2111,573336.5,natural,old,hit,subsequent_remembered
53,2121,574682,natural,old,miss,subsequent_remembered
54,2049,576095,natural,new,correctreject,na
55,2041,577549,natural,new,correctreject,subsequent_remembered
56,1049,579453,manmade,new,correctreject,na
57,1111,580661.5,manmade,old,hit,subsequent_remembered
58,1041,582847.5,manmade,new,correctreject,subsequent_remembered
59,2111,584608.5,natural,old,hit,subsequent_remembered
60,1049,586830.5,manmade,new,correctreject,na
61,2111,588259,natural,old,hit,subsequent_remembered
62,2119,589723,natural,old,hit,na
63,1119,591207.5,manmade,old,hit,na
64,1119,592800,manmade,old,hit,na
65,1111,594274,manmade,old,hit,subsequent_remembered
66,2031,596071,natural,new,falsealarm,subsequent_remembered
67,1119,597581.5,manmade,old,hit,na
68,1049,599107,manmade,new,correctreject,na
69,2040,600760.5,natural,new,correctreject,subsequent_forgotten
70,1049,602516.5,manmade,new,correctreject,na
71,2111,604124,natural,old,hit,subsequent_remembered
72,1111,605522,manmade,old,hit,subsequent_remembered
73,2119,606883.5,natural,old,hit,na
74,1110,608952,manmade,old,hit,subsequent_forgotten
75,1119,610539,manmade,old,hit,na
76,1040,611629.5,manmade,new,correctreject,subsequent_forgotten
77,2119,613073,natural,old,hit,na
78,1049,614588.5,manmade,new,correctreject,na
79,2031,616109,natural,new,falsealarm,subsequent_remembered
80,1049,617762.5,manmade,new,correctreject,na
81,2119,619431.5,natural,old,hit,na
82,2041,620773,natural,new,correctreject,subsequent_remembered
83,2120,622083.5,natural,old,miss,subsequent_forgotten
84,1049,623880.5,manmade,new,correctreject,na
85,2121,625600.5,natural,old,miss,subsequent_remembered
86,1040,627745.5,manmade,new,correctreject,subsequent_forgotten
87,1049,628995,manmade,new,correctreject,na
88,2041,630505,natural,new,correctreject,subsequent_remembered
89,2119,631723.5,natural,old,hit,na
